Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-3436.291	-3694.708	258.4169	0.8630527	3.811002
6	-3429.209	-3687.396	258.1871	1.004187	3.861996
12	-3449.946	-3708.261	258.3154	1.081809	3.743462
18	-3445.152	-3704.019	258.8666	1.083076	3.422393
24	-3443.695	-3702.957	259.2618	1.146057	3.152135
30	-3440.088	-3698.094	258.0059	1.064495	3.93131
36	-3428.634	-3687.294	258.6597	1.205832	3.471556
42	-3436.084	-3694.513	258.429	1.0618	3.689382
48	-3434.31	-3692.613	258.3029	1.006136	3.794281
54	-3442.778	-3700.721	257.9429	0.8969267	4.063107
60	-3447.705	-3704.962	257.2571	1.046706	4.367217
66	-3438.841	-3696.314	257.4723	0.8561655	4.353279
72	-3440.702	-3697.918	257.216	0.9701831	4.433537
78	-3448.11	-3705.654	257.5441	0.932799	4.269346
84	-3450.367	-3708.865	258.4976	1.028056	3.669182
90	-3452.376	-3709.282	256.9059	0.8352093	4.683535
96	-3459.839	-3716.379	256.5402	0.8398901	4.885099
102	-3451.089	-3707.326	256.2365	0.7328724	5.113265
108	-3451.354	-3708.338	256.9846	0.860294	4.625394
114	-3461.205	-3718.337	257.1326	0.8123783	4.569246
120	-3448.07	-3705.086	257.0164	0.8990639	4.585777
126	-3458.282	-3715.258	256.9767	0.917696	4.597642
132	-3468.829	-3725.387	256.5578	0.8491061	4.870139
138	-3451.851	-3709.473	257.6221	0.9080867	4.239148
144	-3426.446	-3685.145	258.6986	0.952597	3.59641
150	-3430.331	-3688.982	258.6515	0.9997319	3.59641
156	-3424.939	-3681.675	256.7355	0.9182987	4.73237
162	-3431.275	-3688.889	257.6147	0.9489276	4.220165
168	-3441.686	-3699.225	257.5395	0.8709425	4.306945
174	-3428.522	-3685.332	256.8094	0.8463076	4.731312
180	-3432.496	-3689.45	256.9542	0.9047388	4.617489
186	-3432.113	-3689.129	257.0159	0.8409775	4.618661
192	-3435.619	-3692.235	256.6167	0.8876932	4.815794
198	-3441.894	-3699.029	257.1344	0.7728147	4.590428
204	-3445.51	-3702.266	256.7563	0.7895556	4.792672
210	-3440.671	-3697.277	256.606	0.9171021	4.805373
216	-3441.846	-3699.326	257.4793	0.9260274	4.309807
222	-3428.558	-3687.079	258.5217	1.045157	3.645355
228	-3438.203	-3696.971	258.7689	1.097026	3.471354
234	-3436.219	-3694.456	258.2376	0.9381856	3.870875
240	-3431.39	-3688.33	256.9404	0.8786165	4.639876
246	-3431.363	-3688.342	256.9791	0.8696993	4.623202
252	-3428.341	-3684.69	256.35	0.919747	4.94652
258	-3440.375	-3696.156	255.7803	0.919747	5.262291
264	-3459.593	-3715.695	256.1016	0.7969155	5.152549
270	-3438.466	-3696.13	257.6633	1.013668	4.155817
276	-3430.295	-3686.923	256.6275	0.7525093	4.88512
282	-3427.479	-3685.119	257.6403	0.8182026	4.279758
288	-3424.78	-3681.437	256.6575	0.8261729	4.827379
294	-3431.709	-3689.396	257.6876	0.9040814	4.204225
300	-3429.266	-3686.114	256.8474	0.8637621	4.700289
306	-3431.019	-3688.036	257.0177	0.8515104	4.611762
312	-3434.512	-3691.479	256.9675	0.8922662	4.617029
318	-3431.763	-3689.964	258.2007	1.015414	3.847726
324	-3426.923	-3685.319	258.3964	1.049578	3.715307
330	-3429.174	-3687.112	257.938	0.8367796	4.100161
336	-3426.356	-3683.69	257.3341	0.9537028	4.376265
342	-3427.968	-3685.351	257.3832	0.9046054	4.376265
348	-3429.672	-3687.989	258.3176	1.080409	3.742995
354	-3436.807	-3695.42	258.6129	1.131756	3.542044
360	-3433.217	-3691.028	257.811	1.004517	4.076954
366	-3431.731	-3688.955	257.224	0.8775717	4.481229
372	-3429.872	-3688.608	258.736	1.065392	3.508991
378	-3430.956	-3690.061	259.1055	1.104729	3.269177
384	-3424.846	-3681.837	256.9907	0.9964573	4.545529
390	-3429.257	-3686.74	257.4828	0.9267024	4.307494
396	-3431.473	-3687.309	255.8365	0.7519736	5.323887
402	-3423.001	-3680.225	257.2238	0.8999784	4.468717
408	-3426.385	-3683.063	256.6776	0.8999784	4.774973
414	-3428.437	-3686.21	257.7731	0.8833664	4.167444
420	-3442.476	-3700.993	258.5167	1.020223	3.662676
